"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44" "V45" "V46" "V47" "V48" "V49" "V50" "V51" "V52" "V53" "V54" "V55" "V56" "V57" "V58" "V59" "V60" "V61" "V62" "V63" "V64" "V65" "V66" "V67" "V68" "V69" "V70" "V71" "V72" "V73" "V74" "V75" "V76" "V77" "V78" "V79" "V80" "V81" "V82" "V83" "V84" "V85" "V86" "V87" "V88" "V89" "V90" "V91"
"11" 1993 40.78833 -5.19279 67.87313 10.82346 3.64588 1.72403 -6.59277 -1.40272 12.0972 1.4148 0.6225 10.5586 37.03993 2549.8587 2230.35186 1793.85986 1017.8807 785.53262 708.87013 634.6577 477.90678 417.35486 266.34207 318.49629 58.37252 339.65612 281.1709 92.69764 -53.56244 -37.0174 -36.00504 52.70498 17.99163 -43.00155 -9.80002 89.60668 -224.69255 121.04145 -466.20664 151.03759 -6.22501 15.5968 -120.82913 3.30207 20.95701 -6.25003 -186.71085 -115.59985 12.95803 80.45863 6.20448 10.30086 70.5888 28.25016 -21.95254 96.27277 61.04358 -127.79521 126.87306 -6.89176 17.93155 -8.75438 10.60694 -296.12359 86.38145 -113.34363 40.35598 1.1626 49.58681 -31.41391 43.63441 -82.40043 18.05176 3.68995 -25.63895 -24.13829 -157.9222 100.30459 -187.2264 156.58623 14.94708 -185.56102 88.45189 -63.42308 4.94096 57.22139 -134.40701 -8.78899 -34.78807 -5.27103
"12" 2008 50.46327 -10.53812 70.26396 21.34501 -41.40599 -1.77659 19.66201 -12.50699 -3.00519 -20.42854 1.42043 12.35145 29.17533 1615.99566 1268.5089 1388.86151 504.10241 818.23879 351.58065 472.71685 214.93706 314.85788 200.06743 156.8852 21.41143 -597.74153 -374.99106 -21.11043 -84.38062 39.25016 -44.66393 55.76976 -38.73494 -11.13839 -55.63002 23.32339 -50.06167 -305.87944 -550.94139 -20.25097 105.46764 41.79558 -98.20104 8.61604 30.46468 -37.55925 580.13646 298.65918 -161.04994 10.82573 -28.90646 42.31085 28.61568 23.21015 -4.50259 -244.78138 170.14943 -130.17281 35.02153 -34.13894 3.37571 -7.66203 -24.35251 -70.03317 132.39832 26.07552 -59.92365 24.77113 68.54416 15.8752 98.57994 -33.7168 -108.21834 -56.31716 -105.21662 -33.49276 -53.53824 132.60404 -79.00894 59.47925 13.55373 -157.72672 137.70416 23.22961 -0.98425 -44.78666 -61.49144 4.4514 148.44531 17.68437
"13" 1996 41.90622 41.01282 36.46689 25.0321 -9.28537 14.50639 5.58751 -1.20379 -8.27156 2.45869 3.44027 -2.92334 30.75875 1416.63066 2507.30298 1691.63992 1085.37007 1326.44697 738.18203 461.28947 306.43274 334.5983 430.30209 290.61493 3.72747 99.52936 -310.5128 -183.34153 137.34872 153.32472 24.42441 56.54755 -30.75107 10.67072 -1.55959 37.38416 -36.13565 119.76766 -482.92049 24.82069 10.19409 23.28917 -68.32091 6.58287 -29.63583 18.24242 -84.76912 375.22906 -145.46355 92.29508 99.75064 -7.57081 37.45145 -14.28269 -11.95182 60.83207 213.20867 -96.82355 191.9601 -81.78638 76.32789 39.49757 4.35829 -118.81566 142.04537 -80.08079 68.76521 84.2772 97.21117 13.68577 105.84056 -25.71613 -34.75712 -75.75655 -86.67174 -11.12254 -64.91782 -5.21285 -80.44996 -24.67003 6.81854 -143.41385 -87.24288 80.73626 8.69768 135.53177 -100.14371 10.25521 31.47119 -3.48666
"14" 1990 44.3126 14.85223 -8.85116 -17.27389 -11.15831 -11.05876 -10.75962 -9.69101 4.67677 -1.5804 0.67958 14.28775 22.41249 1242.84228 1252.98346 1258.73101 688.95854 476.67186 566.5573 382.64536 294.10319 254.02595 215.43363 284.57752 -5.26009 -352.51608 34.35177 -83.36718 -41.1092 19.83482 -22.56183 33.14888 4.03686 -31.46966 22.57481 108.76647 -206.91942 232.23955 -269.31096 64.5402 -33.61272 89.74731 -36.77912 -0.34168 -9.68365 1.52863 1.42205 119.54123 42.50734 149.91764 12.09491 37.42828 -34.70708 45.77628 46.50966 53.44771 42.76304 -13.30579 124.13219 -27.77521 8.92907 -21.7983 10.59001 -29.74561 81.56778 31.25927 22.33769 40.1653 117.6475 -20.07006 80.50974 61.83638 52.07001 -46.35564 -21.69745 13.65717 -2.86483 141.5212 -168.42976 33.57982 4.33966 -103.5357 -40.66367 43.08385 6.0123 94.0103 -41.48377 -9.56734 48.5277 -2.41961
"15" 2007 49.95221 45.30902 10.78918 -6.08092 -25.91157 -27.53971 13.50462 -3.83031 12.26984 10.89698 2.28006 2.99493 12.95338 899.18164 742.84075 418.29622 486.38699 450.42335 267.56859 166.17354 199.33266 150.36015 156.97305 139.47535 7.16445 -146.24933 31.10026 52.42128 -10.62972 29.79973 21.88833 -5.63864 29.40074 26.18726 -8.77013 44.99349 -33.79061 230.61089 -141.26683 37.96277 -14.07245 40.59202 -37.60529 22.04878 -0.01424 16.18618 29.17428 -14.97483 -13.76586 50.80334 24.11095 27.64663 -39.19553 -1.22655 27.37784 -14.92279 150.27607 26.24221 -19.726 -22.22244 3.44168 13.47651 -8.65023 -13.79278 68.91489 -1.90267 -47.04878 12.18445 23.15329 10.87691 41.90211 -52.29365 -8.41042 -35.47596 -58.05234 4.72808 -108.69209 -10.03608 -68.48841 59.80416 -2.05744 -30.77122 -19.25629 30.74614 -2.11484 -12.92326 72.29819 -2.20443 -63.34823 1.60357
"16" 2006 49.91908 6.4751 20.75898 6.69018 19.65943 -21.3709 -9.23202 -8.52199 -5.29857 -0.53641 6.13011 4.47256 20.35378 2498.34898 2555.67393 1004.97646 562.94757 521.64078 443.32487 405.7111 250.67463 265.25469 211.33466 384.55487 116.82401 -1514.83802 598.11598 -82.36787 -5.30619 -24.33404 -87.2532 49.71149 -24.64297 -64.34513 40.26997 -105.53914 -728.79634 67.85802 9.31397 10.06192 -30.78838 36.4261 -34.78952 56.12136 7.11527 -70.72539 255.34862 398.89882 -108.48135 66.10329 49.21684 14.66638 40.77779 65.07316 3.93676 -251.53453 -217.8706 -105.58664 43.13616 -86.71653 -37.99129 -17.85449 -25.38154 -87.3882 -116.22764 63.3846 -34.97606 125.68342 -11.84404 27.81309 337.16721 -33.35868 4.02471 -7.29258 -0.81866 18.18339 -103.1501 -8.65344 54.51206 18.70772 -7.84413 -62.14858 106.61851 221.91378 1.71088 -0.71914 316.91475 -6.35464 -317.18489 -30.77191
"17" 1994 47.64363 76.18533 -14.13919 8.74085 -8.48948 -20.42944 11.63563 -2.15738 6.40477 8.60183 2.69387 -0.29153 12.20495 1310.71482 1065.76906 886.38738 677.4187 604.01037 419.95829 371.74815 253.87305 198.52151 182.07084 203.06183 -20.80015 -141.67278 -397.42947 -204.72436 101.72478 76.23547 36.7564 34.66103 2.48142 18.23902 -11.08598 35.7923 -49.1119 327.20572 -175.22751 13.16813 -16.50077 46.33514 -0.60453 21.55185 -0.13237 -0.45325 88.66679 89.15564 67.12731 -100.98587 5.41284 -2.79232 47.80753 -34.88416 24.67041 229.92011 -4.01867 124.20435 -55.00853 -60.21759 21.92857 12.01328 -7.58395 -133.78848 -137.88835 -3.11531 -71.74932 10.1978 -3.67775 13.91138 -31.45928 27.62762 96.9248 -51.53977 -32.63633 -6.50646 -62.85419 -58.6105 32.66513 -24.04101 -10.624 -55.76061 -57.64412 -0.90614 -0.02919 34.97978 56.60303 1.65729 -42.72064 1.02009
"18" 1996 44.91836 34.4469 4.6717 -2.75072 7.06009 -4.65822 -12.37942 -4.40639 -1.00189 3.03991 1.08993 5.26231 40.6965 1740.37997 1606.68286 1045.92656 725.68212 798.44402 699.63472 347.04236 375.89442 263.31658 222.52584 308.46485 4.49008 -178.32551 -80.90815 32.52538 -46.02293 -10.99037 45.42355 34.29791 21.8736 16.48294 13.03792 25.44917 -107.32272 305.89179 -353.90874 174.87583 -3.6262 119.44521 -57.91981 2.12744 -35.73403 23.56857 -83.21356 77.84893 113.94793 29.42957 -33.04309 43.8542 -26.40822 8.31553 9.40342 -31.82859 291.80447 17.01766 152.32062 -6.57886 -0.25505 16.08934 -16.64483 -166.31741 33.84457 24.58561 9.57646 -39.20205 94.14993 32.36675 153.09445 144.29186 5.26674 -36.79236 -44.70373 7.48056 -153.43741 42.33639 -82.0469 72.10256 21.42386 -70.55793 -34.81763 42.15829 10.74159 56.74239 33.5729 3.43578 35.40368 -5.87278
"19" 2002 45.20515 9.13372 -26.53699 -2.19071 20.37028 -7.22235 -4.12599 1.62476 0.6335 -2.79887 1.19313 5.18903 50.86041 3510.23916 2343.44752 3091.22942 1096.22866 1469.10993 644.52258 886.03836 371.55127 481.73963 505.91903 416.57739 171.88403 120.19423 -360.46033 319.78926 102.29757 118.84558 45.05508 84.85696 -35.11437 26.08603 -37.33506 103.85863 69.69851 -82.55352 -116.61225 8.53987 114.47876 67.97931 -92.84698 3.62258 -32.91742 51.67202 119.08015 258.55732 -58.34399 -16.79831 30.80953 20.041 83.98919 -1.46186 -3.99305 115.25174 143.59087 -330.82489 69.51264 -124.46985 13.75743 26.44023 15.4094 -210.02813 98.99085 -94.87166 -37.41908 21.63498 86.6811 9.39967 25.11004 -164.62398 10.75373 18.6142 -62.74404 7.80039 -233.60955 11.98708 -1.54703 162.92511 -20.65124 -294.0171 -23.59096 68.39679 -11.21593 69.83078 -36.66555 11.45009 30.62763 -9.27695
"20" 2004 35.8097 32.21108 56.1949 -9.50313 38.88607 4.87294 -21.82289 4.65302 -8.64392 3.11632 -3.32031 9.1464 77.56983 2683.0171 4539.56392 4943.43516 1328.61446 1692.91876 1074.78116 736.99558 840.79175 796.8741 635.79823 245.21506 -231.85561 1446.97617 814.22292 -29.26323 -38.49226 76.55624 68.69957 -14.09145 90.27947 67.41253 -47.69393 -202.56874 1056.06329 247.40162 -1773.43114 514.59577 -46.32389 -26.92013 -226.20431 27.45423 161.77394 -128.42532 -289.6891 -415.04455 -234.09505 55.96978 62.49045 132.00948 75.86933 151.00116 -18.13052 -316.33843 1470.79676 206.41746 337.22857 366.96306 295.41178 -30.74759 53.56197 143.23039 330.28927 -642.70118 291.80583 149.69822 17.69298 -111.92063 -12.82595 -644.88696 -837.75596 5.62487 55.59397 -31.69687 -764.99717 -131.88089 -827.33575 163.12583 115.99937 -291.11023 732.32985 -68.21666 43.97184 176.4374 -210.82453 -17.60329 -234.0193 46.46499
"21" 2006 47.84702 11.4607 1.73876 10.69805 -40.07385 -12.3222 -2.70614 -12.52948 23.40528 1.80313 1.42145 4.00843 19.86493 3808.34548 1428.33202 1408.42945 1207.845 923.80122 539.59589 561.34504 498.35158 504.59252 278.00449 274.69863 -152.97946 550.89382 -377.1841 -109.03097 194.01308 -119.7706 -99.97365 -59.04729 -15.30775 48.08468 1.84921 -5.69078 847.62079 408.22576 152.97374 -190.30122 118.86814 11.78683 -92.89044 -6.66038 103.29261 -75.87714 -73.44757 -146.49133 -284.99541 47.21864 148.0017 29.77213 53.84503 75.68592 -5.24773 288.50654 134.2057 58.57366 55.97159 -194.77416 36.33924 -39.5893 -19.7671 -385.19266 3.03541 76.57391 -243.26054 134.6574 -18.96345 17.07781 257.86364 -323.14789 124.06788 -46.0015 -22.08852 15.05235 -85.23826 -107.62719 -55.32478 -62.65774 -4.25993 133.96353 66.5055 221.91543 -12.63848 153.69975 -115.96624 -2.14966 341.22749 -21.81493
"22" 2009 36.12947 -206.69156 8.15711 -19.45717 -33.72875 -23.40452 -13.57751 -1.65554 0.89102 -1.55482 1.29113 -14.58677 17.01449 4645.22173 907.53474 376.01574 966.99873 270.26001 996.79828 131.86827 454.51082 98.62363 49.46287 413.12364 -109.54037 -379.05426 376.74974 -203.05878 -233.1712 -240.87865 221.41348 -78.79545 84.32082 -9.09215 41.02475 58.55938 -154.93677 -115.93336 49.71701 268.4246 -95.17832 -102.81087 -27.39609 -2.37032 -20.41229 31.89494 -381.12088 169.56378 -93.83664 104.15931 11.14791 29.14912 -10.70017 -46.28026 -28.3389 3.99039 -118.23412 -37.57151 23.60389 13.50721 -47.22821 42.73029 18.83208 -140.70764 -86.81756 91.11375 41.14262 18.76374 182.57907 -33.05462 -55.4575 47.94499 -28.33439 -7.69616 -52.78575 -16.3327 -46.07593 -11.02859 -11.89544 8.52737 30.9051 89.14973 3.92999 -131.29525 -1.01136 -86.61513 -279.50495 5.58264 298.81268 -14.15734
"23" 1991 42.02709 -50.96814 78.70729 9.47918 -66.62936 31.87107 -51.9836 -6.66837 18.61647 -4.79205 5.32607 16.53753 7.76782 1008.36846 919.9649 990.45037 430.05896 719.02268 304.82815 220.70448 205.4979 221.4497 288.99697 437.15296 3.64663 313.72532 -27.26118 185.19854 168.56203 48.75491 43.46695 47.86001 53.90894 -0.07029 45.97141 23.73904 138.9091 334.15138 -92.85028 -66.15531 -1.75215 52.60839 -11.90783 -23.7873 -52.28255 14.33943 126.44463 23.79121 -227.84517 -28.33064 -54.11422 54.35146 39.49827 -116.32886 -2.86225 -59.71211 -62.90201 -151.12929 -51.42938 -34.30166 39.40017 -13.19117 -0.07118 -84.13992 2.97425 -66.84171 1.42574 -6.45002 46.53104 -11.80158 -64.42829 17.75315 -31.16882 -0.49999 12.80895 -7.64714 -138.98003 66.83581 -229.31083 109.49543 0.07049 -100.50861 70.64245 42.2281 3.16106 38.09311 -8.2052 -0.01985 32.99579 -0.56273
"24" 2010 43.97508 -32.13594 -22.60328 6.65359 16.82203 -26.85432 5.07663 -4.86018 4.88305 2.81315 8.60167 7.99871 11.12132 1776.1435 1101.95989 1648.03405 1190.88177 513.27527 531.37443 360.03358 293.90646 361.89162 280.79027 214.50031 45.13871 500.00238 -248.76099 -771.33868 -17.92975 102.69904 -103.50755 66.2406 -65.20616 -27.48709 -43.03126 57.54525 -163.27618 238.678 -167.45501 -97.26245 -52.90613 -45.65011 -102.46987 56.26433 -14.32286 -9.74552 429.8348 -3.78214 -245.07446 2.3547 30.77815 34.29852 91.53635 46.0055 -18.59045 -91.49223 -175.21295 -13.1772 176.22464 -4.60902 -91.60754 -21.70338 1.97271 -610.15776 38.05066 -159.49624 -313.09556 49.65419 -109.41751 -11.20017 301.22891 -139.04209 344.4373 59.13828 -39.73969 -4.32376 219.55861 -214.81069 32.56085 206.91333 -4.76851 -243.7178 30.82544 -34.0115 -1.47442 186.28004 -11.74312 -0.6911 128.1983 -4.83416
"25" 1985 28.73993 -19.22157 -18.02237 5.80431 -12.29627 -6.84476 -22.67712 -4.81177 -1.54616 8.66935 2.60865 -0.73621 49.85893 3315.9756 3557.1835 1394.25273 692.89017 1090.15185 779.96619 402.1367 432.90233 256.23445 258.83651 399.18168 -77.91347 1052.12225 253.02983 -22.32633 -121.75945 -54.28604 -70.35066 3.68874 17.96049 15.85215 70.32235 268.66075 365.03684 -434.09361 -162.12598 33.15926 -21.21979 -11.21857 -14.52148 -58.55078 -19.91722 30.68294 272.40597 651.50925 -158.81984 41.49125 92.15273 98.19392 18.49562 -137.49923 -89.35244 95.95787 -530.83392 85.13444 -27.97934 36.983 -80.35079 12.85671 75.54305 -13.50862 -194.34744 -19.20184 -0.23221 61.5186 -14.13285 -61.49835 -144.90875 339.07659 12.67302 6.89517 -39.06327 -14.28754 210.70892 -149.7114 53.95029 28.60447 49.28716 -54.8786 45.36992 54.92634 -6.41849 -103.06833 -228.75244 12.63451 -95.3168 -22.44936
"26" 2000 49.53945 0.64656 31.69762 -4.50746 -12.15712 -23.56485 3.9755 -6.13051 14.14062 0.45412 1.66439 2.25922 35.33163 1543.43861 1723.45175 1075.42448 629.69076 431.10107 480.2181 374.8198 260.3692 242.62197 140.01032 214.57207 22.0137 -60.46088 74.43937 -80.02246 -53.08388 62.19007 -7.67611 11.30843 -16.3456 -18.61014 2.61962 168.15832 -26.52189 -41.32516 -333.98074 -28.72261 -67.6405 -40.72574 -59.1366 2.50103 4.71513 31.27003 48.75235 -92.14123 -33.30099 23.2241 10.29528 -10.27925 28.77825 -32.75307 20.16974 -81.06625 254.4206 24.65303 41.90212 -41.3719 13.2903 11.11115 -20.22332 -52.38115 76.8231 6.56341 -33.67098 -14.39724 11.36074 16.05467 39.22803 -102.46032 -48.70616 -19.75069 -8.22468 12.69587 -104.29843 187.35555 -25.09051 -49.28431 -15.99343 -139.15294 83.43312 24.8497 7.75913 24.08823 -26.83019 9.58017 44.05852 3.88593
